JUD,COURT
19473J,Los Angeles County Court - Calabasas
19475J,Los Angeles County Court - Pomona
19480J,Los Angeles County Court - Huntington Park
19482J,Los Angeles County Court - Monrovia
19484J,Los Angeles County Court - Santa Monica
19486J,Los Angeles County Court - Torrance
19487J,Los Angeles County Court - South Bay (Redondo Beach)
19488J,Los Angeles County Court - South Gate
19490J,Los Angeles County Court - Whittier
19495J,Los Angeles County Court - Hollywood
19496J,Los Angeles County Court - San Fernando
19497J,Los Angeles County Court - San Pedro
19498J,Los Angeles County Court - Van Nuys
19499J,Los Angeles County Court - West Los Angeles
19610J,Los Angeles County Court - Avalon
19650J,Los Angeles County Court - Malibu
20****,Madera County Arrest - No Court Disposition
20100J,Madera County Court - Madera County
20620J,Madera County Court - Chowchilla
20640J,Madera County Court - Borden
20660J,Madera County Court - Madera
20680J,Madera County Court - Bass Lake
21****,Marin County Arrest - No Court Disposition
21100J,Marin County Court - Marin County (San Rafael)
21420J,Marin County Court - San Rafael
22****,Mariposa County Arrest - No Court Disposition
22100J,Mariposa County Court - Mariposa County
22650J,Mariposa County Court - Mariposa
23****,Mendocino County Arrest - No Court Disposition
23100J,Mendocino County Court - Mendocino County
23450J,Mendocino County Court - Willits
23480J,Mendocino County Court - Ukiah
23610J,Mendocino County Court - Boonville
23615J,Mendocino County Court - Point Arena
23620J,Mendocino County Court - Big River (Mendocino) (Prior 5-19-82)
23650J,Mendocino County Court - Littlelake (Willits)
23655J,Mendocino County Court - Leggett
23660J,Mendocino County Court - Covelo
23670J,Mendocino County Court - Sanel (Hopland) (Prior 5-19-82)
23675J,Mendocino County Court - Fort Bragg
23680J,Mendocino County Court - Ukiah
24****,Merced County Arrest - No Court Disposition
24100J,Merced County Court - Merced County
24450J,Merced County Court - Merced
24455J,Merced County Court - Los Banos
24610J,Merced County Court - Atwater
24653J,Merced County Court - Livingston
24657J,Merced County Court - Los Banos
24660J,Merced County Court - Merced
25****,Modoc County Arrest - No Court Disposition
25100J,Modoc County Court - Modoc County
25615J,Modoc County Court - Modoc judicial District (Alturas)
26****,Mono County Arrest - No Court Disposition
26100J,Mono County Court - Mono County
26650J,Mono County Court - Bridgeport
26660J,Mono County Court - Mammoth Lakes
27****,Monterey County Arrest - No Court Disposition
27100J,Monterey County Court - Monterey County
27420J,Monterey County Court - Castroville
27450J,Monterey County Court - Monterey
27470J,Monterey County Court - Salinas
27640J,Monterey County Court - Gonzales
27650J,Monterey County Court - King City
27685J,Monterey County Court - Soledad
28****,Napa County Arrest - No Court Disposition
28100J,Napa County Court - Napa County
28440J,Napa County Court - Napa
28450J,Napa County Court - Calistoga
28460J,Napa County Court - St. Helena
29****,Nevada County Arrest - No Court Disposition
29100J,Nevada County Court - Nevada County
29460J,Nevada County Court - Nevada City
29480J,Nevada County Court - Truckee
29660J,Nevada County Court Nevada
29680J,Nevada County Court - Truckee
30****,Orange County Arrest - No Court Disposition
30100J,Orange County Court - Orange County
30410J,Orange County Court - Anaheim
30420J,Orange County Court - Fullerton
30440J,Orange County Court - Westminster
30450J,Orange County Court - Laguna Niguel
30452J,Orange County Court - Laguna Niguel
30460J,Orange County Court - Newport Beach
30470J,Orange County Court - Santa Ana
31****,Placer County Arrest - No Court Disposition
31100J,Placer County Court - Placer County
31410J,Placer County Court - Auburn
31420J,Placer County Court - Colfax
31440J,Placer County Court - Foresthill
31450J,Placer County Court - Lincoln
31455J,Placer County Court - Roseville
31460J,Placer County Court - Roseville
31480J,Placer County Court - Tahoe
31610J,Placer County Court - Auburn
31620J,Placer County Court - Colfax- Alta - Dutch Flat
31640J,Placer County Court - Forest Hill
31650J,Placer County Court - Lincoln
31660J,Placer County Court - Roseville
31680J,Placer County Juvenile Court - Tahoe City
32****,Plumas County Arrest - No Court Disposition
32100J,Plumas County Court - Plumas County
32610J,Plumas County Court - Greenville
32630J,Plumas County Court - Almanor - Chester Branch
32640J,Plumas County Court - Chester
